"id","description","price"
"207","discount item","1.1"
"208","2 for price 1","2.2"
"209","","11.0"
"210","available in credit","16.5"
"211","special price","12.1"
"212","goods with gift","13.2"
"213","warranty from producer","11.0"
"214","regular price","16.5"
"215","discount item","12.1"
"216","2 for price 1","13.2"
"217","","275.0"
"218","available in credit","330.0"
"219","special price","385.0"
"220","goods with gift","495.0"
"221","warranty from producer","1155.0"
"222","regular price","825.0"
"223","discount item","935.0"
"224","2 for price 1","1045.0"
"225","","1265.0"
"226","available in credit","1375.0"
"227","special price","1155.0"
"228","goods with gift","1760.0"
"229","warranty from producer","1100.0"
"230","regular price","1155.0"
"231","discount item","1045.0"
"232","2 for price 1","1056.0"
"233","","165.0"
"234","available in credit","275.0"
"235","special price","385.0"
"236","goods with gift","495.0"
"237","warranty from producer","55.0"
"238","regular price","66.0"
"239","discount item","77.0"
"240","2 for price 1","60.5"
"241","","165.0"
"242","available in credit","154.0"
"243","special price","143.0"
"244","goods with gift","132.0"
"245","warranty from producer","55.0"
"246","regular price","110.0"
"247","discount item","99.0"
"248","2 for price 1","88.0"
"249","","11.0"
"250","available in credit","55.0"
"251","special price","22.0"
"252","goods with gift","27.5"
"253","warranty from producer","275.0"
"254","regular price","220.0"
"255","discount item","22.0"
"256","2 for price 1","165.0"
"257","","22.0"
"258","available in credit","11.0"
"259","special price","16.5"
"260","goods with gift","17.6"
"261","warranty from producer","1.1"
"262","regular price","2.2"
"263","discount item","3.3"
"264","2 for price 1","4.4"
"265","","4.4"
"266","available in credit","3.3"
"267","special price","2.2"
"268","goods with gift","1.1"
"269","warranty from producer","1.1"
"270","regular price","2.2"
"271","discount item","2.2"
"272","2 for price 1","1.1"
"273","","1.1"
"274","available in credit","2.2"
"275","special price","3.3"
"276","goods with gift","3.3"
"277","warranty from producer","7.7"
"278","regular price","6.6"
"279","discount item","8.8"
"280","2 for price 1","9.9"
"281","","3.3"
"282","available in credit","2.2"
"283","special price","4.4"
"284","goods with gift","5.5"
"285","warranty from producer","1.1"
"286","regular price","2.2"
"287","discount item","2.2"
"288","2 for price 1","1.1"
"289","","5.5"
"290","available in credit","4.4"
"291","special price","3.3"
"292","goods with gift","2.2"
"293","warranty from producer","1.1"
"294","regular price","5.5"
"295","discount item","4.4"
"296","2 for price 1","5.5"
"297","","4.4"
"298","available in credit","1.1"
"299","special price","2.2"
"300","goods with gift","3.3"
"301","warranty from producer","4.4"
"302","regular price","5.5"
"303","discount item","2.2"
"304","2 for price 1","1.1"
"305","","1.1"
"306","available in credit","2.2"
"307","special price","2.2"
"308","goods with gift","2.2"
"309","warranty from producer","1.1"
"310","regular price","1.1"
"311","discount item","1.1"
"312","2 for price 1","2.2"
"313","","3.3"
"314","discount item","4.4"
"315","goods with gift","1.1"
"316","","2.2"
"317","regular price","11.0"
"318","available in credit","16.5"
"319","2 for price 1","12.1"
