"id","description","price"
"284","goods with gift","5.5"
"285","warranty from producer","1.1"
"286","regular price","2.2"
"288","2 for price 1","1.1"
"289","","5.5"
"290","available in credit","4.4"
"291","special price","3.3"
"292","goods with gift","2.2"
"293","warranty from producer","1.1"
"294","regular price","5.5"
"295","discount item","4.4"
"296","2 for price 1","5.5"
"297","","4.4"
"298","available in credit","1.1"
"299","special price","2.2"
"6","regular price","825"
"13","warranty from producer","1100"
"20","goods with gift","495"
"26","available in credit","154"
"34","available in credit","55"
"40","2 for price 1","165"
"47","discount item","3.3"
"53","warranty from producer","1.1"
"61","warranty from producer","7.7"
"68","goods with gift","5.5"
"74","available in credit","4.4"
"82","available in credit","1.1"
"88","2 for price 1","1.1"
"94","regular price","1.1"
"101","warranty from producer","11"
"108","goods with gift","13.2"
"111","discount item","385"
"130","available in credit","66"
"154","available in credit","2.2"
"178","available in credit","2.2"
"201","","1.1"
"204","goods with gift","2.2"
"209","","11"
"222","regular price","825"
"245","warranty from producer","55"
"251","special price","22"
"287","discount item","2.2"
"300","goods with gift","3.3"
"301","warranty from producer","4.4"
"302","regular price","5.5"
"303","discount item","2.2"
"304","2 for price 1","1.1"
"305","","1.1"
"306","available in credit","2.2"
"307","special price","2.2"
"308","goods with gift","2.2"
"309","warranty from producer","1.1"
"310","regular price","1.1"
"311","discount item","1.1"
"312","2 for price 1","2.2"
"313","","3.3"
"314","discount item","4.4"
"315","goods with gift","1.1"
"316","","2.2"
"317","regular price","11"
"318","available in credit","16.5"
"319","2 for price 1","12.1"
"2","available in credit","330"
"3","special price","385"
"320","special price","250"
"321","discount item","300"
"322","goods with gift","350"
"323","","450"
"324","regular price","1050"
"325","available in credit","750"
"326","2 for price 1","850"
"327","warranty from producer","950"
"328","special price","1150"
"329","discount item","1250"
"330","goods with gift","1050"
"331","","1600"
"332","regular price","1000"
"333","available in credit","1050"
"334","2 for price 1","950"
"335","warranty from producer","960"
"336","special price","150"
"337","discount item","250"
"338","goods with gift","350"
"339","","450"
"340","regular price","50"
"341","warranty from producer","60"
"342","available in credit","70"
"343","2 for price 1","55"
"344","special price","150"
"321083","","450"
"321084","regular price","1050"
"321085","available in credit","750"
"321086","2 for price 1","850"
"321087","warranty from producer","950"
"321088","special price","1150"
"321089","discount item","1250"
"321090","goods with gift","1050"
"321091","","1600"
"321092","regular price","1000"
"321093","available in credit","1050"
"321094","2 for price 1","950"
"321095","warranty from producer","960"
"321096","special price","150"
"321097","discount item","250"
"321098","goods with gift","350"
"321099","","450"
"321100","regular price","50"
"321101","warranty from producer","60"
"321102","available in credit","70"
"345","discount item","140"
"346","goods with gift","130"
"347","","120"
"348","regular price","50"
"349","available in credit","100"
"350","2 for price 1","90"
"351","warranty from producer","80"
"352","special price","10"
"353","discount item","50"
"354","goods with gift","20"
"355","","25"
"356","regular price","250"
"357","available in credit","200"
"358","2 for price 1","20"
"359","warranty from producer","150"
"360","special price","20"
"361","discount item","10"
"362","goods with gift","15"
"363","","16"
"364","regular price","1"
"365","available in credit","2"
"366","2 for price 1","3"
"367","warranty from producer","4"
"368","special price","4"
"369","discount item","3"
"370","goods with gift","2"
"371","","1"
"372","regular price","1"
"373","available in credit","2"
"374","2 for price 1","2"
"375","warranty from producer","1"
"376","special price","1"
"377","discount item","2"
"378","goods with gift","3"
"379","","3"
"380","regular price","7"
"381","available in credit","6"
"382","2 for price 1","8"
"383","warranty from producer","9"
"384","special price","3"
"385","discount item","2"
"386","goods with gift","4"
"387","","5"
"388","regular price","1"
"389","2 for price 1","2"
"390","available in credit","2"
"391","warranty from producer","1"
"392","special price","5"
"393","discount item","4"
"394","goods with gift","3"
"395","","2"
"396","regular price","1"
"397","available in credit","5"
"398","2 for price 1","4"
"399","warranty from producer","5"
"400","special price","4"
"401","discount item","1"
"402","goods with gift","2"
"403","","3"
"404","regular price","4"
"405","available in credit","5"
"406","2 for price 1","2"
"407","warranty from producer","1"
"408","special price","1"
"409","discount item","2"
"410","goods with gift","2"
"411","","2"
"412","regular price","1"
"413","2 for price 1","1"
"414","available in credit","1"
"415","warranty from producer","2"
"416","special price","3"
"417","discount item","4"
"418","goods with gift","1"
"419","","2"
"420","regular price","10"
"421","available in credit","15"
"422","2 for price 1","11"
"423","warranty from producer","12"
"424","special price","10"
"425","discount item","15"
"426","goods with gift","11"
"427","","12"
"428","special price","250"
"429","discount item","300"
"430","goods with gift","350"
"431","","450"
"432","regular price","1050"
"433","available in credit","750"
"434","2 for price 1","850"
"435","warranty from producer","950"
"436","special price","1150"
"437","discount item","1250"
"438","goods with gift","1050"
"439","","1600"
"440","regular price","1000"
"441","available in credit","1050"
"442","2 for price 1","950"
"443","warranty from producer","960"
"444","special price","150"
"445","discount item","250"
"446","goods with gift","350"
"447","","450"
"448","regular price","50"
"449","warranty from producer","60"
"450","available in credit","70"
"451","2 for price 1","55"
"452","special price","150"
"453","discount item","140"
"454","goods with gift","130"
"455","","120"
"456","regular price","50"
"457","available in credit","100"
"458","2 for price 1","90"
"459","warranty from producer","80"
"460","special price","10"
"461","discount item","50"
"462","goods with gift","20"
"463","","25"
"464","regular price","250"
"465","available in credit","200"
"466","2 for price 1","20"
"467","warranty from producer","150"
"468","special price","20"
"469","discount item","10"
"470","goods with gift","15"
"471","","16"
"472","regular price","1"
"473","available in credit","2"
"474","2 for price 1","3"
"475","warranty from producer","4"
"476","special price","4"
"477","discount item","3"
"478","goods with gift","2"
"479","","1"
"480","regular price","1"
"481","available in credit","2"
"482","2 for price 1","2"
"483","warranty from producer","1"
"484","special price","1"
"485","discount item","2"
"486","goods with gift","3"
"487","","3"
"488","regular price","7"
"489","available in credit","6"
"490","2 for price 1","8"
"491","warranty from producer","9"
"492","special price","3"
"493","discount item","2"
"494","goods with gift","4"
"495","","5"
"496","regular price","1"
"497","2 for price 1","2"
"498","available in credit","2"
"499","warranty from producer","1"
"500","special price","5"
"501","discount item","4"
"502","goods with gift","3"
"503","","2"
"504","regular price","1"
"505","available in credit","5"
"506","2 for price 1","4"
"507","warranty from producer","5"
"508","special price","4"
"509","discount item","1"
"510","goods with gift","2"
"511","","3"
"512","regular price","4"
"513","available in credit","5"
"514","2 for price 1","2"
"515","warranty from producer","1"
"516","special price","1"
"517","discount item","2"
"518","goods with gift","2"
"519","","2"
"520","regular price","1"
"521","2 for price 1","1"
"522","available in credit","1"
"523","warranty from producer","2"
"524","special price","3"
"525","discount item","4"
"526","goods with gift","1"
"527","","2"
"528","regular price","10"
"529","available in credit","15"
"530","2 for price 1","11"
"531","warranty from producer","12"
"532","special price","10"
"533","discount item","15"
"534","goods with gift","11"
"535","","12"
"536","special price","250"
"537","discount item","300"
"538","goods with gift","350"
"539","","450"
"540","regular price","1050"
"541","available in credit","750"
"542","2 for price 1","850"
"543","warranty from producer","950"
"544","special price","1150"
"545","discount item","1250"
"546","goods with gift","1050"
"547","","1600"
"548","regular price","1000"
"549","available in credit","1050"
"550","2 for price 1","950"
"551","warranty from producer","960"
"552","special price","150"
"553","discount item","250"
"554","goods with gift","350"
"555","","450"
"556","regular price","50"
"557","warranty from producer","60"
"558","available in credit","70"
"559","2 for price 1","55"
"560","special price","150"
"561","discount item","140"
"562","goods with gift","130"
"563","","120"
"564","regular price","50"
"565","available in credit","100"
"566","2 for price 1","90"
"567","warranty from producer","80"
"568","special price","10"
"569","discount item","50"
"570","goods with gift","20"
"571","","25"
"572","regular price","250"
"573","available in credit","200"
"574","2 for price 1","20"
"575","warranty from producer","150"
"576","special price","20"
"577","discount item","10"
"578","goods with gift","15"
"579","","16"
"580","regular price","1"
"581","available in credit","2"
"582","2 for price 1","3"
"583","warranty from producer","4"
"584","special price","4"
"585","discount item","3"
"586","goods with gift","2"
"587","","1"
"588","regular price","1"
"589","available in credit","2"
"590","2 for price 1","2"
"591","warranty from producer","1"
"592","special price","1"
"593","discount item","2"
"594","goods with gift","3"
"595","","3"
"596","regular price","7"
"597","available in credit","6"
"598","2 for price 1","8"
"599","warranty from producer","9"
"600","special price","3"
"601","discount item","2"
"602","goods with gift","4"
"603","","5"
"604","regular price","1"
"605","2 for price 1","2"
"606","available in credit","2"
"607","warranty from producer","1"
"608","special price","5"
"609","discount item","4"
"610","goods with gift","3"
"611","","2"
"612","regular price","1"
"613","available in credit","5"
"614","2 for price 1","4"
"615","warranty from producer","5"
"616","special price","4"
"617","discount item","1"
"618","goods with gift","2"
"619","","3"
"620","regular price","4"
"621","available in credit","5"
"622","2 for price 1","2"
"623","warranty from producer","1"
"624","special price","1"
"625","discount item","2"
"626","goods with gift","2"
"627","","2"
"628","regular price","1"
"629","2 for price 1","1"
"630","available in credit","1"
"631","warranty from producer","2"
"632","special price","3"
"633","discount item","4"
"634","goods with gift","1"
"635","","2"
"636","regular price","10"
"637","available in credit","15"
"638","2 for price 1","11"
"639","warranty from producer","12"
"640","special price","10"
"641","discount item","15"
"642","goods with gift","11"
"643","","12"
"644","special price","250"
"645","discount item","300"
"646","goods with gift","350"
"647","","450"
"648","regular price","1050"
"649","available in credit","750"
"650","2 for price 1","850"
"651","warranty from producer","950"
"652","special price","1150"
"653","discount item","1250"
"654","goods with gift","1050"
"655","","1600"
"656","regular price","1000"
"657","available in credit","1050"
"658","2 for price 1","950"
"659","warranty from producer","960"
"660","special price","150"
"661","discount item","250"
"662","goods with gift","350"
"663","","450"
"664","regular price","50"
"665","warranty from producer","60"
"666","available in credit","70"
"667","2 for price 1","55"
"668","special price","150"
"669","discount item","140"
"670","goods with gift","130"
"671","","120"
"672","regular price","50"
"673","available in credit","100"
"674","2 for price 1","90"
"675","warranty from producer","80"
"676","special price","10"
"677","discount item","50"
"678","goods with gift","20"
"679","","25"
"680","regular price","250"
"681","available in credit","200"
"682","2 for price 1","20"
"683","warranty from producer","150"
"684","special price","20"
"685","discount item","10"
"686","goods with gift","15"
"687","","16"
"688","regular price","1"
"689","available in credit","2"
"690","2 for price 1","3"
"691","warranty from producer","4"
"692","special price","4"
"693","discount item","3"
"694","goods with gift","2"
"695","","1"
"696","regular price","1"
"697","available in credit","2"
"698","2 for price 1","2"
"699","warranty from producer","1"
"700","special price","1"
"701","discount item","2"
"702","goods with gift","3"
"703","","3"
"704","regular price","7"
"705","available in credit","6"
"706","2 for price 1","8"
"707","warranty from producer","9"
"708","special price","3"
"709","discount item","2"
"710","goods with gift","4"
"711","","5"
"712","regular price","1"
"713","2 for price 1","2"
"714","available in credit","2"
"715","warranty from producer","1"
"716","special price","5"
"717","discount item","4"
"718","goods with gift","3"
"719","","2"
"720","regular price","1"
"721","available in credit","5"
"722","2 for price 1","4"
"723","warranty from producer","5"
"724","special price","4"
"725","discount item","1"
"726","goods with gift","2"
"727","","3"
"728","regular price","4"
"729","available in credit","5"
"730","2 for price 1","2"
"731","warranty from producer","1"
"732","special price","1"
"733","discount item","2"
"734","goods with gift","2"
"735","","2"
"736","regular price","1"
"737","2 for price 1","1"
"738","available in credit","1"
"739","warranty from producer","2"
"740","special price","3"
"741","discount item","4"
"742","goods with gift","1"
"743","","2"
"744","regular price","10"
"745","available in credit","15"
"746","2 for price 1","11"
"747","warranty from producer","12"
"748","special price","10"
"749","discount item","15"
"750","goods with gift","11"
"751","","12"
"752","special price","250"
"753","discount item","300"
"754","goods with gift","350"
"755","","450"
"756","regular price","1050"
"757","available in credit","750"
"758","2 for price 1","850"
"759","warranty from producer","950"
"760","special price","1150"
"761","discount item","1250"
"762","goods with gift","1050"
"763","","1600"
"764","regular price","1000"
"765","available in credit","1050"
"766","2 for price 1","950"
"767","warranty from producer","960"
"768","special price","150"
"769","discount item","250"
"770","goods with gift","350"
"771","","450"
"772","regular price","50"
"773","warranty from producer","60"
"774","available in credit","70"
"775","2 for price 1","55"
"776","special price","150"
"777","discount item","140"
"778","goods with gift","130"
"779","","120"
"780","regular price","50"
"781","available in credit","100"
"782","2 for price 1","90"
"783","warranty from producer","80"
"784","special price","10"
"785","discount item","50"
"786","goods with gift","20"
"787","","25"
"788","regular price","250"
"789","available in credit","200"
"790","2 for price 1","20"
"791","warranty from producer","150"
"792","special price","20"
"793","discount item","10"
"794","goods with gift","15"
"795","","16"
"796","regular price","1"
"797","available in credit","2"
"798","2 for price 1","3"
"799","warranty from producer","4"
"800","special price","4"
"801","discount item","3"
"802","goods with gift","2"
"803","","1"
"804","regular price","1"
"805","available in credit","2"
"806","2 for price 1","2"
"807","warranty from producer","1"
"808","special price","1"
"809","discount item","2"
"810","goods with gift","3"
"811","","3"
"812","regular price","7"
"813","available in credit","6"
"814","2 for price 1","8"
"815","warranty from producer","9"
"816","special price","3"
"817","discount item","2"
"818","goods with gift","4"
"819","","5"
"820","regular price","1"
"821","2 for price 1","2"
"822","available in credit","2"
"823","warranty from producer","1"
"824","special price","5"
"825","discount item","4"
"826","goods with gift","3"
"827","","2"
"828","regular price","1"
"829","available in credit","5"
"830","2 for price 1","4"
"831","warranty from producer","5"
"832","special price","4"
"833","discount item","1"
"834","goods with gift","2"
"835","","3"
"836","regular price","4"
"837","available in credit","5"
"838","2 for price 1","2"
"839","warranty from producer","1"
"840","special price","1"
"841","discount item","2"
"842","goods with gift","2"
"843","","2"
"844","regular price","1"
"845","2 for price 1","1"
"846","available in credit","1"
"847","warranty from producer","2"
"848","special price","3"
"849","discount item","4"
"850","goods with gift","1"
"851","","2"
"852","regular price","10"
"853","available in credit","15"
"854","2 for price 1","11"
"855","warranty from producer","12"
"856","special price","10"
"857","discount item","15"
"858","goods with gift","11"
"859","","12"
"860","special price","250"
"861","discount item","300"
"862","goods with gift","350"
"863","","450"
"864","regular price","1050"
"865","available in credit","750"
"866","2 for price 1","850"
"867","warranty from producer","950"
"868","special price","1150"
"869","discount item","1250"
"870","goods with gift","1050"
"871","","1600"
"872","regular price","1000"
"873","available in credit","1050"
"874","2 for price 1","950"
"875","warranty from producer","960"
"876","special price","150"
"877","discount item","250"
"878","goods with gift","350"
"879","","450"
"880","regular price","50"
"881","warranty from producer","60"
"882","available in credit","70"
"883","2 for price 1","55"
"884","special price","150"
"885","discount item","140"
"886","goods with gift","130"
"887","","120"
"888","regular price","50"
"889","available in credit","100"
"890","2 for price 1","90"
"891","warranty from producer","80"
"892","special price","10"
"893","discount item","50"
"894","goods with gift","20"
"895","","25"
"896","regular price","250"
"897","available in credit","200"
"898","2 for price 1","20"
"899","warranty from producer","150"
"900","special price","20"
"901","discount item","10"
"902","goods with gift","15"
"903","","16"
"904","regular price","1"
"905","available in credit","2"
"906","2 for price 1","3"
"907","warranty from producer","4"
"908","special price","4"
"909","discount item","3"
"910","goods with gift","2"
"911","","1"
"912","regular price","1"
"913","available in credit","2"
"914","2 for price 1","2"
"915","warranty from producer","1"
"916","special price","1"
"917","discount item","2"
"918","goods with gift","3"
"919","","3"
"920","regular price","7"
"921","available in credit","6"
"922","2 for price 1","8"
"923","warranty from producer","9"
"924","special price","3"
"925","discount item","2"
"926","goods with gift","4"
"927","","5"
"928","regular price","1"
"929","2 for price 1","2"
"930","available in credit","2"
"931","warranty from producer","1"
"932","special price","5"
"933","discount item","4"
"934","goods with gift","3"
"935","","2"
"936","regular price","1"
"937","available in credit","5"
"938","2 for price 1","4"
"939","warranty from producer","5"
"940","special price","4"
"941","discount item","1"
"942","goods with gift","2"
"943","","3"
"944","regular price","4"
"945","available in credit","5"
"946","2 for price 1","2"
"947","warranty from producer","1"
"948","special price","1"
"949","discount item","2"
"950","goods with gift","2"
"951","","2"
"952","regular price","1"
"953","2 for price 1","1"
"954","available in credit","1"
"955","warranty from producer","2"
"956","special price","3"
"957","discount item","4"
"958","goods with gift","1"
"959","","2"
"960","regular price","10"
"961","available in credit","15"
"962","2 for price 1","11"
"963","warranty from producer","12"
"964","special price","10"
"965","discount item","15"
"966","goods with gift","11"
"967","","12"
"968","special price","250"
"969","discount item","300"
"970","goods with gift","350"
"971","","450"
"972","regular price","1050"
"973","available in credit","750"
"974","2 for price 1","850"
"975","warranty from producer","950"
"976","special price","1150"
"977","discount item","1250"
"978","goods with gift","1050"
"979","","1600"
"980","regular price","1000"
"981","available in credit","1050"
"982","2 for price 1","950"
"983","warranty from producer","960"
"984","special price","150"
"985","discount item","250"
"986","goods with gift","350"
"987","","450"
"988","regular price","50"
"989","warranty from producer","60"
"990","available in credit","70"
"991","2 for price 1","55"
"992","special price","150"
"993","discount item","140"
"994","goods with gift","130"
"995","","120"
"996","regular price","50"
"997","available in credit","100"
"998","2 for price 1","90"
"999","warranty from producer","80"
"1000","special price","10"
"1001","discount item","50"
"1002","goods with gift","20"
"1003","","25"
"1004","regular price","250"
"1005","available in credit","200"
"1006","2 for price 1","20"
"1007","warranty from producer","150"
"1008","special price","20"
"1009","discount item","10"
"1010","goods with gift","15"
"1011","","16"
"1012","regular price","1"
"1013","available in credit","2"
"1014","2 for price 1","3"
"1015","warranty from producer","4"
"1016","special price","4"
"1017","discount item","3"
"1018","goods with gift","2"
"1019","","1"
"1020","regular price","1"
"1021","available in credit","2"
"1022","2 for price 1","2"
"1023","warranty from producer","1"
"1024","special price","1"
"1025","discount item","2"
"1026","goods with gift","3"
"1027","","3"
"1028","regular price","7"
"1029","available in credit","6"
"1030","2 for price 1","8"
"1031","warranty from producer","9"
"1032","special price","3"
"1033","discount item","2"
"1034","goods with gift","4"
"1035","","5"
"1036","regular price","1"
"1037","2 for price 1","2"
"1038","available in credit","2"
"1039","warranty from producer","1"
"1040","special price","5"
"1041","discount item","4"
"1042","goods with gift","3"
"1043","","2"
"1044","regular price","1"
"1045","available in credit","5"
"1046","2 for price 1","4"
"1047","warranty from producer","5"
"1048","special price","4"
"1049","discount item","1"
"1050","goods with gift","2"
"1051","","3"
"1052","regular price","4"
"1053","available in credit","5"
"1054","2 for price 1","2"
"1055","warranty from producer","1"
"1056","special price","1"
"1057","discount item","2"
"1058","goods with gift","2"
"1059","","2"
"1060","regular price","1"
"1061","2 for price 1","1"
"1062","available in credit","1"
"1063","warranty from producer","2"
"1064","special price","3"
"1065","discount item","4"
"1066","goods with gift","1"
"1067","","2"
"1068","regular price","10"
"1069","available in credit","15"
"1070","2 for price 1","11"
"1071","warranty from producer","12"
"1072","special price","10"
"1073","discount item","15"
"1074","goods with gift","11"
"1075","","12"
"1076","special price","250"
"1077","discount item","300"
"1078","goods with gift","350"
"1079","","450"
"1080","regular price","1050"
"1081","available in credit","750"
"1082","2 for price 1","850"
"1083","warranty from producer","950"
"1084","special price","1150"
"1085","discount item","1250"
"1086","goods with gift","1050"
"1087","","1600"
"1088","regular price","1000"
"1089","available in credit","1050"
"1090","2 for price 1","950"
"1091","warranty from producer","960"
"1092","special price","150"
"1093","discount item","250"
"1094","goods with gift","350"
"1095","","450"
"1096","regular price","50"
"1097","warranty from producer","60"
"1098","available in credit","70"
"1099","2 for price 1","55"
"1100","special price","150"
"1101","discount item","140"
"1102","goods with gift","130"
"1103","","120"
"1104","regular price","50"
"1105","available in credit","100"
"1106","2 for price 1","90"
"1107","warranty from producer","80"
"1108","special price","10"
"1109","discount item","50"
"1110","goods with gift","20"
"1111","","25"
"1112","regular price","250"
"1113","available in credit","200"
"1114","2 for price 1","20"
"1115","warranty from producer","150"
"1116","special price","20"
"1117","discount item","10"
"1118","goods with gift","15"
"1119","","16"
"1120","regular price","1"
"1121","available in credit","2"
"1122","2 for price 1","3"
"1123","warranty from producer","4"
"1124","special price","4"
"1125","discount item","3"
"1126","goods with gift","2"
"1127","","1"
"1128","regular price","1"
"1129","available in credit","2"
"1130","2 for price 1","2"
"1131","warranty from producer","1"
"1132","special price","1"
"1133","discount item","2"
"1134","goods with gift","3"
"1135","","3"
"1136","regular price","7"
"1137","available in credit","6"
"1138","2 for price 1","8"
"1139","warranty from producer","9"
"1140","special price","3"
"1141","discount item","2"
"1142","goods with gift","4"
"1143","","5"
"1144","regular price","1"
"1145","2 for price 1","2"
"1146","available in credit","2"
"1147","warranty from producer","1"
"1148","special price","5"
"1149","discount item","4"
"1150","goods with gift","3"
"1151","","2"
"1152","regular price","1"
"1153","available in credit","5"
"1154","2 for price 1","4"
"1155","warranty from producer","5"
"1156","special price","4"
"1157","discount item","1"
"1158","goods with gift","2"
"1159","","3"
"1160","regular price","4"
"1161","available in credit","5"
"1162","2 for price 1","2"
"1163","warranty from producer","1"
"1164","special price","1"
"1165","discount item","2"
"1166","goods with gift","2"
"1167","","2"
"1168","regular price","1"
"1169","2 for price 1","1"
"1170","available in credit","1"
"1171","warranty from producer","2"
"1172","special price","3"
"1173","discount item","4"
"1174","goods with gift","1"
"1175","","2"
"1176","regular price","10"
"1177","available in credit","15"
"1178","2 for price 1","11"
"1179","warranty from producer","12"
"1180","special price","10"
"1181","discount item","15"
"1182","goods with gift","11"
"1183","","12"
"1184","special price","250"
"1185","discount item","300"
"1186","goods with gift","350"
"1187","","450"
"1188","regular price","1050"
"1189","available in credit","750"
"1190","2 for price 1","850"
"1191","warranty from producer","950"
"1192","special price","1150"
"1193","discount item","1250"
"1194","goods with gift","1050"
"1195","","1600"
"1196","regular price","1000"
"1197","available in credit","1050"
"1198","2 for price 1","950"
"1199","warranty from producer","960"
"1200","special price","150"
"1201","discount item","250"
"1202","goods with gift","350"
"1203","","450"
"1204","regular price","50"
"1205","warranty from producer","60"
"1206","available in credit","70"
"1207","2 for price 1","55"
"1208","special price","150"
"1209","discount item","140"
"1210","goods with gift","130"
"1211","","120"
"1212","regular price","50"
"1213","available in credit","100"
"1214","2 for price 1","90"
"1215","warranty from producer","80"
"1216","special price","10"
"1217","discount item","50"
"1218","goods with gift","20"
"1219","","25"
"1220","regular price","250"
"1221","available in credit","200"
"1222","2 for price 1","20"
"1223","warranty from producer","150"
"1224","special price","20"
"1225","discount item","10"
"1226","goods with gift","15"
"1227","","16"
